"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"chargé / chargée de valorisation de la recherche";https://www.onisep.fr/http/redirection/metier/slug/MET.284;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"économie, droit, politique/droit privé"
"chargé / chargée HSE (hygiène sécurité environnement)";https://www.onisep.fr/http/redirection/metier/slug/MET.878;"Les métiers de l'industrie textile";"Zoom sur les métiers";2022;9782273015585;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1302;"environnement, énergies, propreté/propreté| armée, sécurité/sécurité, prévention"
"chargé / chargée HSE (hygiène sécurité environnement)";https://www.onisep.fr/http/redirection/metier/slug/MET.878;"Les métiers de l'industrie de la chimie";"Zoom sur les métiers";2021;9782273015622;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1302;"environnement, énergies, propreté/propreté| armée, sécurité/sécurité, prévention"
"charpentier / charpentière métallique";https://www.onisep.fr/http/redirection/metier/slug/MET.296;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE E : travail des métaux";H2911;"Réalisation de structures métalliques";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2911;"construction, architecture, travaux publics/charpente, couverture| construction, architecture, travaux publics/génie civil, construction (généralités)| mécanique/travail des métaux"
"chauffeur-livreur / chauffeuse-livreuse";https://www.onisep.fr/http/redirection/metier/slug/MET.210;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";N4105;"Conduite et livraison par tournées sur courte distance";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=N4105;"logistique, transport/transport"
"chef / cheffe d'exploitation d'usine d'incinération";https://www.onisep.fr/http/redirection/metier/slug/MET.226;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";K2306;"Supervision d'exploitation éco-industrielle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2306;"gestion des entreprises, comptabilité/administration de l'entreprise| environnement, énergies, propreté/déchets, pollutions et risques| matières premières, fabrication, industries/génie industriel| matières premières, fabrication, industries/méthodes industrialisation"
"chef / cheffe de chantier en installations électriques";https://www.onisep.fr/http/redirection/metier/slug/MET.286;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE H : électricité, énergie, électronique";F1202;"Direction de chantier du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1202;"électricité, électronique, robotique/électrotechnique| construction, architecture, travaux publics/équipement technique"
"chef / cheffe de mission humanitaire";https://www.onisep.fr/http/redirection/metier/slug/MET.219;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";N1301;"Conception et organisation de la chaîne logistique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=N1301;"santé, social, sport/travail social"
"chef / cheffe de produit marketing";https://www.onisep.fr/http/redirection/metier/slug/MET.539;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";M1703;"Management et gestion de produit";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1703;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing, vente"
"chef / cheffe de produit marketing";https://www.onisep.fr/http/redirection/metier/slug/MET.539;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";M1703;"Management et gestion de produit";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1703;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing, vente"
"chef / cheffe de projet biodiversité";https://www.onisep.fr/http/redirection/metier/slug/MET.944;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";A1303;"Ingénierie en agriculture et environnement naturel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"environnement, énergies, propreté/environnement (généralités)| environnement, énergies, propreté/protection des espaces naturels"
"chef / cheffe de projet éolien";https://www.onisep.fr/http/redirection/metier/slug/MET.302;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies"
"chef / cheffe de projet multimédia";https://www.onisep.fr/http/redirection/metier/slug/MET.696;"Les métiers du jeu vidéo";Parcours;2023;9782273016193;"GFE U : communication, médias";M1803;"Direction des systèmes d'information";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1803;"information-communication, audiovisuel/multimédia"
"chef / cheffe de publicité";https://www.onisep.fr/http/redirection/metier/slug/MET.8;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE U : communication, médias";E1401;"Développement et promotion publicitaire";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=E1401;"information-communication, audiovisuel/journalisme, édition, publicité"
"chef / cheffe de rayon";https://www.onisep.fr/http/redirection/metier/slug/MET.299;"Les métiers du commerce alimentaire de proximité";"Zoom sur les métiers";2020;9782273014915;"GFE Q : commerce, gestion, finances";"D1502 | D1503";"Management/gestion de rayon produits alimentaires | Management/gestion de rayon produits non alimentaires";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=D1502 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=D1503";"commerce, marketing, vente/grande distribution et petits commerces"
